order,date,author,title,published,pages,favorite,
1.,Jun 1968,Jean-Jacques Rousseau,The Confessions ,1781,606 pp.,true,
2.,Jun 1968,Erich Fromm,The Art of Loving ,1956,146 pp.,true,
3.,Jun 1968,Mark Twain,The Adventures of Huckleberry Finn,,288 pp.,,
4.,Jul 1968,James Thurber,My Life and Hard Times,1933,115 pp.,,
5.,Jul 1968,William Shakespeare,Romeo and Juliet,1596,146 pp.,,
6.,Aug 1968,John Barth,The End of the Road,1958,206 pp.,,
7.,Sept 1968,Aldous Huxley,Brave New World,1932,199 pp.,,
8.,Sept 1968,Fritz Peters,Boyhood with Gurdjieff,1964,174 pp.,,
9.,Oct 1968,P.D. Ouspensky,In Search of the Miraculous ,1949,389 pp.,true,
10.,Nov 1968,Russell H. Miles,"Johann Sebastian Bach, an Introduction to his Life and Works",1962,164 pp.,,
11.,Dec 1968,Hunter Davies,The Beatles,1968,340 pp.,,
12.,Dec 1968,P.D. Ouspensky,The Strange Life of Ivan Osokin,1955,166 pp.,,
13.,Jan 1969,René Daumal,Mount Analogue,1952,106 pp.,,
14.,Jan 1969,Bernard Malamud,The Assistant,1957,192 pp.,,
15.,Jan 1969,C.G. Jung,"Memories, Dreams, Reflections",1961,359 pp.,,
16.,Jan 1969,Philip Roth,"Goodbye, Columbus",1959,97 pp.,,
17.,Feb 1969,Malcolm X and Alex Haley,Autobiography,1964,460 pp.,,
18.,Feb 1969,"Jule Eisenbud, M.D.",The World of Ted Serios,1968,339 pp.,,
19.,Feb 1969,Penelope Gilliatt,A State of Change,1967,221 pp.,,
20.,Feb 1969,Oscar Wilde,The Picture of Dorian Gray,1891,234 pp.,,
21.,Feb 1969,Joseph Heller,Catch 22,1961,463 pp.,,
22.,Feb 1969,Voltaire,Candide,1758,144 pp.,,
23.,Feb 1969,F. Scott Fitzgerald,The Great Gatsby,1925,182 pp.,,
24.,Feb 1969,L.N. Tolstoy,War and Peace ,1869,1444 pp.,true,
25.,May 1969,Philip Roth,Portnoy's Complaint ,1969,274 pp.,true,
26.,May 1969,George Orwell,Down and Out in Paris and London ,1933,155 pp.,,
27.,Jun 1969,Fyodor Dostoyevsky,The Brothers Karamazov,1881,701 pp.,,
28.,Jun 1969,Norman Podhoretz,Making It,1967,262 pp.,,
29.,Jun 1969,Rodney Collin,The Theory of Eternal Life,1948,123 pp.,,
30.,Jun 1969,Norman Mailer,Miami and the Siege of Chicago,1968,223 pp.,,
31.,Jul 1969,G.I. Gurdjieff,Meetings with Remarkable Men,1927,303 pp.,,
32.,Jul 1969,William Shakespeare,Hamlet,1602,,,
33.,Aug 1969,James Simon Kunen,The Strawberry Statement,1969,151 pp.,,
34.,Sept 1969,Emily Brontë,Wuthering Heights ,1847,320 pp.,true,
35.,Jan 1970,Herman Melville,Moby Dick,1851,535 pp.,,
36.,Jan 1970,Johann Wolgang Goethe,The Sorrows of Young Werther ,1774,199 pp.,true,
37.,Feb 1970,Jean-Paul Sartre,Nausea,1938,253 pp.,,
38.,Mar 1970,Garrett Mattingly,The Armada ,1959,402 pp.,true,
39.,Apr 1970,Honoré de Balzac,Eugénie Grandet,1833,248 pp.,,
40.,Apr 1970,Bertrand Russell,The Conquest of Happiness,1930,180 pp.,,
41.,May 1970,Margaret Mead,Culture and Commitment,1970,97 pp.,,
42.,Jul 1970,Jane Austen,Sense and Sensibility,1811,349 pp.,,
43.,Aug 1970,L.N. Tolstoy,"Childhood, Boyhood, Youth",1857,319 pp.,,
44.,Sep 1970,Norman Zierold,Garbo,1969,157 pp.,,
45.,Oct 1970,Joan Didion,Play It as It Lays,1970,,,
46.,Oct 1970,Anais Nin,Diary,1934,358 pp.,,
47.,Nov 1970,André Gide,The Counterfeiters,1927,397 pp.,,
48.,Dec 1970,Gustave Flaubert,Sentimental Education,1869,419 pp.,,
49.,Jan 1971,Joseph Conrad,Lord Jim,1900,313 pp.,,
50.,Jan 1971,William Shakespeare,Othello,1602,128 pp.,,
51.,Feb 1971,Thomas Mann,Buddenbrooks,1901,595 pp.,,
52.,Mar 1971,Bill Moyers,Listening to America ,1971,342 pp.,true,
53.,Ap. 1971,Alvin Toffer,Future Shock,1970,430 pp.,,
54.,Jun 1971,Jerzy Kosinski,Being There,1971,140 pp.,,
55.,Juy 1971,Charlotte Brontë,Jane Eyre ,1847,477 pp.,true,
56.,Aug 1971,William Shakespeare,King Lear,1605,138 pp.,,
57.,Aug 1971,Johann Wolfgang Goethe,Elective Affinities,1809,300 pp.,,
58.,Sep 1971,William J. Mitchell,Elementary Harmony,1965,230 pp.,,
59.,Oct 1971,Edmund S. Morgan,The Birth of the Republic,1956,157 pp.,,
60.,Nov 1971,Kenneth A. Lockridge,"A New England Town, the First One Hundred Years",1969,180 pp.,,
61.,Dec 1971,Mary Renault,The Charioteer,1961,347 pp.,,
62.,Jan 1972,L.N. Tolstoy,Anna Karenina ,1873,852 pp.,true,
63.,Feb 1972,Milovan Djilas,The New Class,1957,214 pp.,,
64.,Mar 1972,Albert Schweitzer,"J.S. Bach, Vol. 1 ",1911,428 pp.,true,
65.,Apr 1972,Alan Watts,The Wisdom of Insecurity,1951,152 pp.,,
66.,Aug.1972,Larry McMurtry,All My Friends are Going to Be Strangers,1972,286 pp.,,
67.,Sep 1972,Richard Bach,Jonathan Livingston Seagull,1970,93 pp.,,
68.,Oct 1972,Thomas Wolfe,Look Homeward Angel,1929,522 pp.,,
69.,Oct 1972,Alan Moorehead,Darwin and the Beagle,1969,270 pp.,,
70.,Feb 1973,Charles Dickens,David Copperfield,,850 pp.,,
71.,Apr 1973,Charles Dickens,American Notes,1842,320 pp.,,
72.,Jun 1973,W.J. Cash,The Mind of the South,1941,440 pp.,,
73.,Jun 1973,William Faulkner,The Wild Palms,1939,,,
74.,Jul 1973,Thomas Hardy,Tess of the D'Urbervilles,1902,517 pp.,,
75.,Aug 1973,Irving Bieber,"Homosexuality, a Psychoanalytic Survey",1955,319 pp.,,
76.,Aug 1973,André Gide,The Immoralist,1903,171 pp.,,
77.,Sep 1973,Dee Brown,Bury My Heart at Wounded Knee,1971,421 pp.,,
78.,Oct 1973,Gabriel Garcia Marques,One Hundred Years of Solitude,1970,383 pp.,,
79.,Oct 1973,Jane Austen,Pride and Prejudice ,1797,430 pp.,true,
80.,Nov 1973,Sarah N. Randolph,The Domestic Life of Thomas Jefferson,1939,384 pp.,,
81.,Nov 1973,Daniel Boorstin,The Lost World of Thomas Jefferson,1948,248 pp.,,
82.,Dec 1973,Peter McCabe and Robert D. Schonfeld,Apple to the Core,1972,200 pp.,,
83.,Dec 1973,E.N. da C. Andrade,"Sir Isaac Newton, His Life and Work",1954,136 pp.,,
84.,Dec 1973,John Kenneth Galbraith,Economics and the Public Purpose,1973,324 pp.,,
85.,Dec 1973,Anne F. Scott,The Southern Lady,1970,231 pp.,,
86.,Jan 1974,Georges Lefebvre,The Coming of the French Revolution,1947,220 pp.,,
87.,Feb 1974,Konrad Lorenz,On Aggression,1966,290 pp.,,
88.,Feb 1974,Bette Davis,The Lonely Life,1962,254 pp.,,
89.,Mar 1974,Merle Miller,"Plain Speaking, an Oral Biography of Harry S. Truman",1973,432 pp.,,
90.,Mar 1974,Vladimir Nabokov,Transparent Things,1972,158 pp.,,
91.,Apr 1974,Jane Austen,Persuasion,1818,254 pp.,,
92.,Apr 1974,Jim Bouton,Ball Four,1970,369 pp.,,
93.,May 1974,Bruce Catton,This Hallowed Ground,1956,495 pp.,,
94.,May 1974,Jan Morris,Conundrum,1974,174 pp.,,
95.,Jul 1974,Constantine Fitzgibbon,The Life of Dylan Thomas,1965,346 pp.,,
96.,Aug 1974,Chogyam Thungpa,Cutting Through Spiritual Materialism,,,,
97.,Aug 1974,Peter Benchley,Jaws,1974,272 pp.,,
98.,Aug 1974,Carlos Castaneda,Journey to Ixtlan,1972,315 pp.,,
99.,Aug 1974,Chaim Potok,The Chosen,,,,
100.,Oct 1974,Sir Arthur Conan Doyle,The Adventures of Sherlock Holmes ,1892,248 pp.,true,
101.,Oct 1974,Richard Hofstadter,America at 1750,1973,292 pp.,,
102.,Nov 1974,Graham Greene,The End of the Affair,1951,240 pp.,,
103.,Dec 1974,Clive Davis,"Clive, Inside the Record Business",1974,291 pp.,,
104.,Feb 1975,Robert A. Caro,The Power Broker ,1974,1162 pp.,true,
105.,Jun 1975,Henry James,Portrait of a Lady ,1881,545 pp.,true,
106.,Sep 1975,Nicholas Meyer,The Seven Per-Cent Solution,1974,234 pp.,,
107.,Jan 1976,William M. Thackeray,Memoirs of Barry Lyndon,1854,324 pp.,,
108.,Feb 1976,"Kurt Vonnegut, Jr.",Breakfast of Champions,1973,295 pp.,,
109.,Mar 1976,F. Scott Fitzgerald,The Last Tycoon,1941,163 pp.,,
110.,Apr 1976,Rollo May,The Courage to Create,1975,140 pp.,,
111.,Apr 1976,Aaron Coplan,Coplan on Music,1944-60,280 pp.,,
112.,Jul 1976,Harold Mattingly,The Man in the Roman Street,1966,156 pp.,,
113.,Dec 1976,Curtis Cate,George Sand,1975,732 pp.,,
114.,Dec 1976,John S. Shelton,Geology Illustrated ,1966,424 pp.,true,
115.,Dec 1976,Saul Bellow,To Jerusalem and Back,1976,182 pp.,,
116.,Jan 1977,Saul Bellow,Humboldt's Gift ,1973,472 pp.,true,
117.,Feb 1977,Robert Wm. Fogel and Stanley L. Engerman,"Time On the Cross, the Economics of American Negro Slavery",1974,264 pp.,,
118.,Feb 1977,Colin McEvedy,The Penguin Atlas of Medieval History,1961,90 pp.,,
119.,Feb 1977,R.D. Laing,Do You Love Me?,1976,86 pp.,,
120.,Feb 1977,C.G. Jung,The Undiscovered Self,1957,125 pp.,,
121.,May 1977,C.G. Jung,Modern Man in Search of a Soul ,1933,244 pp.,true,
122.,May 1977,Charles Chaplin,My Autobiography ,1964,497 pp.,true,
123.,May 1977,Margaret Drabble,A Summer Bird-Cage,1963,208 pp.,,
124.,Jun 1977,Arthur C. Clarke,Childhood's End,1953,218 pp.,,
125.,Jul 1977,Henry James,The Europeans,1878,173 pp.,,
126.,Sep 1977,Stephen King,The Shining ,1977,447 pp.,true,
127.,Aug 1977,Henry James,The Ambassadors,1903,397 pp.,,
128.,Jun 1977,Bulfinch,Mythology ,1855,236 pp.,true,
129.,Nov 1977,Gail Sheehy,Passages,1976,514 pp.,,
130.,Dec 1977,William Shakespeare,Richard III,1595,148 pp.,,
131.,Dec 1977,J. Hector St. John de Crevecoeur,Letters from an American Farmer,1782,225 pp.,,
132.,Mar 1978,Norman Mailer,"Genius and Lust, a Journey through the Major Writings of Henry Miller",1976,476 pp.,,
133.,Apr 1978,Charles Darwin,The Origin of Species ,1859,460 pp.,true,
134.,Apr 1978,Robert M. Pirsig,Zen and the Art of Motorcycle Maintenance ,1974,406 pp.,true,
135.,May 1978,Erik Erikson,Childhood and Society ,1950,424 pp.,true,
136.,May 1978,Marcel Proust,Swann's Way ,1928,325 pp.,true,
137.,May 1978,,"Chapters in Western Civilization, Vol. 1",1954,545 pp.,,
138.,Jun 1978,Plato,"The Last Days of Socrates, Euthyphro, The Apology, Crito, Phaedo ",390b.c.,199 pp.,true,
139.,Jun 1978,Chie Nakane,Japanese Society,1970,151 pp.,,
140.,Jun 1978,Homer,The Iliad,730b.c.,459 pp.,,
141.,Jun 1978,Plato,The Symposium,385b.c.,122 pp.,,
142.,Aug 1978,Fyodor Dostoevsky,The Idiot ,,642 pp.,true,
143.,Sep 1978,Lytton Strachey,Eminent Victorians,,338 pp.,,
144.,Sep 1978,Robertson Davies,Fifth Business ,1970,268 pp.,true,
145.,Nov 1978,A.J.P. Taylor,The Second World War,1975,235 pp.,,
148.,Feb 1979,John McPhee,Coming Into the Country,1976,438 pp.,,
149.,Mar 1979,William Manchester,The Glory and the Dream,1974,1302 pp.,,
150.,May 1979,L.N. Tolstoy,Ressurrection,1899,568 pp.,,
151.,Jun 1979,Paul Bowles,The Sheltering Sky,1949,305 pp.,,
152.,Jun 1979,Joseph Conrad,Heart of Darkness,1902,111 pp.,,
153.,Jul 1979,Yukio Mishima,Spring Snow,1968,376 pp.,,
